股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
ST康美,600518,2023-03-13 09:31,2.1,2.11,2.11,2.09,22127,4642996.0,0.95,0.48,0.01,0.02
ST康美,600518,2023-03-13 09:32,2.11,2.11,2.11,2.1,3391,713176.0,0.47,0.0,0.0,0.0
ST康美,600518,2023-03-13 09:33,2.11,2.1,2.11,2.1,6344,1333114.0,0.47,-0.47,-0.01,0.0
ST康美,600518,2023-03-13 09:34,2.1,2.1,2.11,2.1,13598,2856210.0,0.48,0.0,0.0,0.01
ST康美,600518,2023-03-13 09:35,2.1,2.09,2.1,2.09,2482,520594.0,0.48,-0.48,-0.01,0.0
ST康美,600518,2023-03-13 09:36,2.1,2.1,2.1,2.09,2272,476229.0,0.48,0.48,0.01,0.0
ST康美,600518,2023-03-13 09:37,2.1,2.1,2.1,2.1,3362,705846.0,0.0,0.0,0.0,0.0
ST康美,600518,2023-03-13 09:38,2.09,2.1,2.1,2.09,5655,1187271.0,0.48,0.0,0.0,0.0
ST康美,600518,2023-03-13 09:39,2.11,2.1,2.11,2.1,2230,468435.0,0.48,0.0,0.0,0.0
ST康美,600518,2023-03-13 09:40,2.1,2.1,2.11,2.1,2511,528672.0,0.48,0.0,0.0,0.0
ST康美,600518,2023-03-13 09:41,2.11,2.1,2.11,2.1,1202,253241.0,0.48,0.0,0.0,0.0
ST康美,600518,2023-03-13 09:42,2.11,2.11,2.11,2.1,14687,3098771.0,0.48,0.48,0.01,0.01
ST康美,600518,2023-03-13 09:43,2.11,2.11,2.12,2.11,2707,571226.0,0.47,0.0,0.0,0.0
ST康美,600518,2023-03-13 09:44,2.12,2.11,2.12,2.11,829,175370.0,0.47,0.0,0.0,0.0
ST康美,600518,2023-03-13 09:45,2.11,2.12,2.12,2.11,4108,869421.0,0.47,0.47,0.01,0.0
ST康美,600518,2023-03-13 09:46,2.12,2.12,2.12,2.11,1581,334132.0,0.47,0.0,0.0,0.0
ST康美,600518,2023-03-13 09:47,2.12,2.12,2.12,2.11,1356,287069.0,0.47,0.0,0.0,0.0
ST康美,600518,2023-03-13 09:48,2.11,2.11,2.12,2.11,444,93818.0,0.47,-0.47,-0.01,0.0
ST康美,600518,2023-03-13 09:49,2.11,2.11,2.12,2.11,4701,992042.0,0.47,0.0,0.0,0.0
ST康美,600518,2023-03-13 09:50,2.11,2.11,2.11,2.11,7943,1675989.0,0.0,0.0,0.0,0.01
ST康美,600518,2023-03-13 09:51,2.1,2.1,2.11,2.1,732,153856.0,0.47,-0.47,-0.01,0.0
ST康美,600518,2023-03-13 09:52,2.11,2.11,2.11,2.1,569,120017.0,0.48,0.48,0.01,0.0
ST康美,600518,2023-03-13 09:53,2.11,2.1,2.11,2.1,216,45553.0,0.47,-0.47,-0.01,0.0
ST康美,600518,2023-03-13 09:54,2.1,2.1,2.11,2.1,1442,303328.0,0.48,0.0,0.0,0.0
ST康美,600518,2023-03-13 09:55,2.1,2.1,2.11,2.1,966,202953.0,0.48,0.0,0.0,0.0
ST康美,600518,2023-03-13 09:56,2.1,2.11,2.11,2.1,5732,1203995.0,0.48,0.48,0.01,0.0
ST康美,600518,2023-03-13 09:57,2.1,2.1,2.1,2.1,1220,256301.0,0.0,-0.47,-0.01,0.0
ST康美,600518,2023-03-13 09:58,2.1,2.1,2.11,2.1,4477,940351.0,0.48,0.0,0.0,0.0
